cook,cooking_date,post_id,post_text,thread_id,url
mousdeer,2018-09-28,1753344,"Guten Morgen, heute Mittag ist wieder Wocheneinkauf angesagt, also gibt's wieder ""auswärts""! Falls heute Abend noch Bedarf besteht wären Gemüsepuffer mit Räucherlachs eine Möglichkeit! Schönen Freitag,",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
simsl,2018-09-28,1753356,"Guten Morgen, bei uns gibt es heute Bifteki mit Schafkäsesoße, dazu Reis und Salat. Schönen Freitag,",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
turtle,2018-09-28,1753362,"Hallo, heute werde ich auf besonderen Wunsch Pizzabrötchen auftischen. Kommt gut ins Wochenende.",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
sushifisch,2018-09-28,1753364,"Hallo zusammen, bei uns gibt es heute https://www.wunderkessel.de/t/spinatknoedel-mit-parmesansosse.121846/, Soße wird aber abgewandelt, da ich gestern spontan Pfifferlinge mitgenommen habe.",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
Seepferdchen,2018-09-28,1753370,"Hallo, wir waren heute Vormittag in der Stadt und haben dort in der Nordsee gegessen. Abends gibt es Zwiebelkuchen, dazu roten Sauser. Liebe Grüße Seepferdchen",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
Lerche,2018-09-28,1753376,"Hallo Ihr Lieben, Bei uns gibt es heute Abend auch Zwiebelkuchen, und zwar die Ruckzuck-Variante. https://www.rezeptwelt.de/backen-he...uck-zuck/5q7wpr2q-e1973-748059-cfcd2-8eb3ugfp",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
katinka,2018-09-28,1753380,"Hallo zusammen, bei uns gab es heute Pizza.",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
Marmeladenköchin,2018-09-28,1753382,"Hallole, wir hatten Spinat, Eier und Kartoffeln.. mal wieder lecker.. heut abend Brot, Brötchen u Wurst u käse was jeder soo findet.. gruss Uschi",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
Tanja50,2018-09-28,1753394,"Guten Morgen, ich werde heute grillen und die Saison abschließen. Leber grillen das ist heute mein Festessen LG Tanja50",126554,https://www.wunderkessel.de/t/freitag-28-09-2018.126554/
