term,parent_terms
affordable,
air passes,
airfare,
alcohol,
allowed to,admission
award miles,
award ticket,
awards,
baby,
bag,
baggage,
be allowed,admission
bearable,
best price,
best time,
best way,
billing statement,
boarding,
boarding pass,
book flights,booking
booking system,
bottles,
budget travel,
bus,
business class,
buy,
call center,
cancelled,cancellation
cancelling,cancellation
carry on dimensions,
change terminals,terminal change
change the flight,changing flight
charge,
charge me,fees
charges,fees
cheaper deals,
cheapest option,
cheapest possible,
check in,check-in
chronic back condition,
cigarettes,
comfort,
compensation,
competition,
complaints,
computer,
confirm,confirmation
connection,
connection time,
convert the money,money exchange
cost,charges
costs,charges
credit,
credit card,
custom,
Customer Affairs,
customs,
discount,
Duty Free,
e-ticket number,
earphones,
economy,
Economy Plus,
emergency exit,
enough time,timing
error,
exchange my inbound ticket,ticket changes
exit/extra leg room,
Expedia,
extra cost,charges
extra costs,charges
family,
fare,
FF seat,seating
First Class,
fly alone,travel alone
fly by security lines,
food,meals
football,
frequent miles number,
frustrated,
get seated,seating
group rate,
hiking pole,
hotel,
how comfortable,comfort
immigration,
in flight,in-flight
in-flight,
in-flight service,in-flight
Indian people,
Individual seat movies,entertainment
insurance,
internal travel,
iPad,
iPhone,
iPod,
iPod Air 2,
is not cool,
jet lag,
Kayak,
kids,
kindle,
Krisflyer points,
laptop,
layover,connecting flight
leg room,
legal issues,
live agent,
loss,
lounge,
luggage,
market,
meal,meals
meals,
medications,
medium haul,
membership services,
mileage plan,
miles,
minors,
missing,
mistake,
mistakes,
most affordable,
most economical,
movie,entertainment
needs to be shut down,shutdown requirement
not choose them again,
notebook,
offerings,
online bag check,
online booking,
online check-in,
online redemption,
parent,
passport,
pay for,charges
payment,
phone number,
pick a seat,seating
possible to walk,
pre-book,
pre-screening,
printing of boarding passes,
procedure,
puppys,
pushchair,extra luggage
Qatar airport,
quickest way,
recheck,
recheck it in,re-checkin
recline,
redemption,
reference number,
refund,
representative,
reserve,reservation
return flight,
ring sling,extra luggage
roll-your-own cigarettes,
round-trip,
rules,
screens,
seat allocations,seating
seating,
seats,seating
seperately,
service centre,
should I wait,
should i wait for it,
Silver Preferred,
sit next,
size limit,
sleep,
sling carrier,extra luggage
small portable electronic devices,
smoking,
special assistant,
superbowl,
T2,
T3,
Tablets,
taxes and fuel surcharge,
Terminal 4,
terminal 5,
Terminal 7,
transfer time,
transit,
transit visa,
travel alone,
travel insurance,
trombone,
TSA,
upgrade,
upper deck,
USA airspace,
visa,
We plan,
weather,
wheelchair,
wifi,
will I be allowed,admission
World Cup,
